31,"t","Mushrooms: Released August 26, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
31,"t","Specialty Mushroom Total Production, Volume of Sales, Price, and Value of Sales by Variety – United States: 2019-2020, 2020-2021, and 2021-2022"
31,"t","[Specialty mushroom estimates represent growers who have at least 200 natural wood logs in production or some commercial indoor growing area, and $200 in sales. Totals may not add due to rounding]"
31,"h","","","","","","","","","","","","",""
31,"h","","","","","All sales","All sales","All sales","All sales","All sales","All sales","All sales","All sales","All sales"
31,"h","","Total","Total","Total","","","","","","","","",""
31,"h","Variety","production 1/","production 1/","production 1/","Volume of","Volume of","Volume of","Price per","Price per","Price per","Value of","Value of","Value of"
31,"h","","","","","sales 2/","sales 2/","sales 2/","pound 3/","pound 3/","pound 3/","sales","sales","sales"
31,"h","","","","","","","","","","","","",""
31,"h","","2019-","2020-","2021-","2019-","2020-","2021-","2019-","2020-","2021-","2019-","2020-","2021-"
31,"h","","2020","2021","2022","2020","2021","2022","2020","2021","2022","2020","2021","2022"
31,"h","","","","","","","","","","","","",""
31,"u","","(1,000 pounds)","(1,000 pounds)","(1,000 pounds)","(1,000 pounds)","(1,000 pounds)","(1,000 pounds)","(dollar)","(dollar)","(dollar)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
31,"d","Shiitake",7298,7475,8073,7013,7210,7749,3.44,3.44,3.51,24091,24836,27162
31,"d","Oyster",8642,7220,5267,8517,6708,5007,2.70,2.24,3.04,23032,15003,15209
31,"d","Other",4652,6819,10265,4475,6655,9748,4.54,3.95,4.61,20323,26273,44980
31,"d","",,,,,,,,,,,,
31,"d","Total 4/",20592,21514,23606,20005,20574,22504,3.37,3.21,3.88,67446,66113,87351
31,"c",""
31,"f","1/ Total production includes all fresh market and processing sales plus amount harvested but not sold (shrinkage, cullage, dumped, etc.)."
31,"f","2/ Virtually all specialty mushroom sales are for fresh market."
31,"f","3/ Prices for mushrooms are the average prices producers receive at the point of first sale, commonly referred to as the average price as sold. For example, if in a given State, part of the fresh mushrooms are sold F.O.B. packed by growers, part are sold bulk to brokers or repackers, and some are sold retail at roadside stands, the mushroom average price as sold is a weighted average of the average price for each method of sale."
31,"f","4/ Includes California, Florida, Illinois, Maryland, Oklahoma, Pennsylvania, Tennessee, and Texas."
